Category,Field Name,Description,Data Type,Unit / Format,Example,Collection Priority,Possible Sources,Notes
Administration,Record ID,Unique identifier for each venue-contract observation,Text,Text,NR-0001,Required,Internal research tracker; source URL,
Administration,Data Status,Collection status,Category,Use dropdown where available,In Progress,Required,Internal research tracker; source URL,
Administration,Data Quality,Overall reliability of the row,Category,Use dropdown where available,Medium,Required,Internal research tracker; source URL,
Administration,Last Updated,Date the row was last updated,Date,YYYY-MM-DD,2026-05-19,Recommended,Internal research tracker; source URL,
Administration,Source ID,Reference ID linked to Source_Tracker,Text,Text,SRC-001,Required,Internal research tracker; source URL,
Administration,Source URL,Direct URL for the most important source,URL,URL,https://...,Required,Internal research tracker; source URL,
Administration,Notes,General notes or caveats,Text,Text,Reported value excludes options,Optional,Internal research tracker; source URL,
Venue,Venue Name,Current venue name,Text,Text,Example Arena,Required,Venue official website; team website; industry databases; public venue documents,
Venue,Previous / Alternative Venue Name,"Prior name, non-sponsored name, or local name",Text,Text,City Arena,Recommended,Venue official website; team website; industry databases; public venue documents,
Venue,Venue Type,Facility type,Category,Use dropdown where available,Arena,Required,Venue official website; team website; industry databases; public venue documents,
Venue,Primary Use,Primary use of the venue,Category,Use dropdown where available,Basketball,Required,Venue official website; team website; industry databases; public venue documents,
Location,Country,Country where the venue is located,Text,Text,United States,Required,Government open data; maps; venue official website; tourism bureau,
Location,City,City where the venue is located,Text,Text,Los Angeles,Required,Government open data; maps; venue official website; tourism bureau,
Location,State / Prefecture,"State, province, prefecture, or region",Text,Text,California,Recommended,Government open data; maps; venue official website; tourism bureau,
Location,Metro Area,Metropolitan area name,Text,Text,Greater Los Angeles,Recommended,Government open data; maps; venue official website; tourism bureau,
Location,Latitude,Latitude coordinate,Number,Numeric,34.0522,Optional,Government open data; maps; venue official website; tourism bureau,
Location,Longitude,Longitude coordinate,Number,Numeric,-118.2437,Optional,Government open data; maps; venue official website; tourism bureau,
Venue,Ownership Type,Public/private/mixed ownership,Category,Use dropdown where available,Public,Recommended,Venue official website; team website; industry databases; public venue documents,
Venue,Opened Year,Original opening year,Year,YYYY,2024,Recommended,Venue official website; team website; industry databases; public venue documents,
Venue,Renovated Year,Most recent major renovation year,Year,YYYY,2026,Optional,Venue official website; team website; industry databases; public venue documents,
Venue,New / Renewed Venue Flag,Whether the naming deal is tied to a new or major renewed venue,Category,Use dropdown where available,New venue,Recommended,Venue official website; team website; industry databases; public venue documents,
Venue,Capacity,Fixed or typical event capacity,Number,Numeric,20000,Required,Venue official website; team website; industry databases; public venue documents,
Venue,Total Site Area sqm,Site area in square meters,Number,Numeric,110000,Optional,Venue official website; team website; industry databases; public venue documents,
Location,Nearest Major Station / Airport,Nearest transport node,Text,Text,Central Station,Optional,Government open data; maps; venue official website; tourism bureau,
Location,Distance to CBD km,Distance to city center / CBD in kilometers,Number,Numeric,5.2,Optional,Government open data; maps; venue official website; tourism bureau,
Contract,Sponsor Name,Naming-rights sponsor,Text,Text,Example Corp,Required,Official press release; sponsor announcement; industry directory; news reports,
Sponsor,Sponsor Industry,Sponsor's main industry,Category,Use dropdown where available,Financial Services,Recommended,Company website; annual report; industry classification sources,
Sponsor,Sponsor HQ Country,Sponsor headquarters country,Text,Text,Japan,Optional,Company website; annual report; industry classification sources,
Contract,Contract Status,Status of the naming-rights agreement,Category,Use dropdown where available,Active,Required,Official press release; sponsor announcement; industry directory; news reports,
Contract,Contract Announcement Date,Date the agreement was announced,Date,YYYY-MM-DD,2024-09-01,Recommended,Official press release; sponsor announcement; industry directory; news reports,
Contract,Contract Start Year,First year of contract,Year,YYYY,2025,Required,Official press release; sponsor announcement; industry directory; news reports,
Contract,Contract End Year,Last year of contract,Year,YYYY,2034,Recommended,Official press release; sponsor announcement; industry directory; news reports,
Contract,Contract Length years,Contract length in years,Number,Numeric,10,Required,Official press release; sponsor announcement; industry directory; news reports,
Contract Value,Currency,Original reporting currency,Category,Use dropdown where available,USD,Required,Official announcement; industry directory; financial press; annual reports,
Contract Value,Total Contract Value Original,Total reported contract value in original currency,Currency,Original currency unless stated,100000000,Recommended,Official announcement; industry directory; financial press; annual reports,
Contract Value,Annual Fee Original,"Reported annual fee in original currency, if available",Currency,Original currency unless stated,10000000,Recommended,Official announcement; industry directory; financial press; annual reports,
Contract Value,Annualized Fee Original Calc,Calculated annual value in original currency,Formula,Calculated in Data_Input,annual fee or total/length,Calculated,Official announcement; industry directory; financial press; annual reports,Do not overwrite formulas
Contract Value,FX to Base Currency,FX multiplier from original currency to base currency,Number,Numeric,1.0000,Required for comparison,Official announcement; industry directory; financial press; annual reports,
Contract Value,Annualized Fee Base Currency,Annualized fee converted to base currency,Formula,Calculated in Data_Input,Annualized * FX,Calculated,Official announcement; industry directory; financial press; annual reports,Do not overwrite formulas
Contract Value,Inflation / CPI Normalization Factor,Multiplier to normalize monetary value to chosen base year,Number,Numeric,1.0000,Recommended,Official announcement; industry directory; financial press; annual reports,
Contract Value,Real Annualized Fee Base Year,Annualized fee in base currency and base-year terms,Formula,Calculated in Data_Input,Base Currency Fee * CPI Factor,Calculated,Official announcement; industry directory; financial press; annual reports,Do not overwrite formulas
Contract Scope,Rights Scope Summary,Short summary of naming-rights scope,Text,Text,"Venue name, exterior signage, digital inventory",Recommended,Official press release; sponsorship documents; sponsor/venue websites,
Contract Scope,Included Assets / Benefits,Assets included in the naming-rights package,Text,Text,Signage; hospitality; digital; broadcast mentions,Recommended,Official press release; sponsorship documents; sponsor/venue websites,
Contract Scope,Exclusivity Y/N,Whether category exclusivity is included,Category,Use dropdown where available,Yes,Optional,Official press release; sponsorship documents; sponsor/venue websites,
Contract Scope,Renewal Y/N,Whether the contract is a renewal,Category,Use dropdown where available,No,Recommended,Official press release; sponsorship documents; sponsor/venue websites,
Contract Scope,Termination / Opt-out Y/N,Whether early termination or opt-out is reported,Category,Use dropdown where available,No,Optional,Official press release; sponsorship documents; sponsor/venue websites,
Tenant / League,Primary Tenant / Team,Primary sports team or anchor tenant,Text,Text,Example FC,Recommended,League/team websites; sports reference sources; venue websites,
Tenant / League,League / Competition,"League, competition, or event circuit",Text,Text,NBA,Recommended,League/team websites; sports reference sources; venue websites,
Tenant / League,League Tier / Level,Relative league or competition level,Category,Use dropdown where available,Top-tier domestic,Recommended,League/team websites; sports reference sources; venue websites,
Tenant / League,Multi-tenant Y/N,Whether multiple anchor tenants use the venue,Category,Use dropdown where available,Yes,Recommended,League/team websites; sports reference sources; venue websites,
Tenant / League,Number of Anchor Tenants,Number of major tenants,Number,Numeric,2,Recommended,League/team websites; sports reference sources; venue websites,
Attendance / Events,Average Home Attendance,Average attendance for primary tenant home games,Number,Numeric,18000,Recommended,League attendance databases; venue annual reports; box-office reports; public authority reports,
Attendance / Events,Annual Venue Attendance,Total annual venue attendance,Number,Numeric,1400000,Required,League attendance databases; venue annual reports; box-office reports; public authority reports,
Attendance / Events,Annual Event Days,Total event days per year,Number,Numeric,140,Required,League attendance databases; venue annual reports; box-office reports; public authority reports,
Attendance / Events,Sports Event Days,Annual sports event days,Number,Numeric,60,Recommended,League attendance databases; venue annual reports; box-office reports; public authority reports,
