Data Status,Data Quality,Venue Type,Primary Use,Ownership Type,New / Renewed Venue Flag,Sponsor Industry,Contract Status,Currency,Yes / No / Unknown,League Tier / Level,Source Type,Source Reliability,Region,Subregion,Data Type / Value Basis,Value Disclosure Status,Rights Type,Naming Scope,Tax Treatment,Public / Private Facility,Facility Governance / Scheme,Bundled Assets Flag,Row Source Type,Original Language,Data Collection Priority
Not Started,High,Arena,Basketball,Public,New venue,Financial Services,Active,USD,Yes,Top-tier domestic,Official announcement,Primary / official,Asia-Pacific,East Asia,Actual disclosed,Disclosed exact amount,Stadium naming rights,Full venue,Including tax,Public,Municipal facility,Yes,Government announcement,English,Core analysis row
In Progress,Medium,Stadium,Ice hockey,Private,Existing venue,Technology,Expired,EUR,No,Second-tier domestic,Annual report / filing,Reliable secondary,North America,Southeast Asia,Actual reported but partially disclosed,Disclosed range,Arena naming rights,Nickname only,Excluding tax,Private,Prefectural / state facility,No,Municipal website,Japanese,Asia benchmark row
Needs Verification,Low,Ballpark,American football,Public-private partnership,Major renovation,Telecommunications,Announced,GBP,Unknown,International / global,Industry directory,Secondary unverified,Europe,South Asia,Media estimate,Disclosed annual only,Ballpark naming rights,Field / court only,Consumption tax/VAT unspecified,Public-private partnership,National facility,Partially / likely,Prefectural / state website,Korean,Reference only
Complete,Unknown,Soccer-specific stadium,Baseball,Non-profit / university,Renewal / extension,Automotive,Pending,JPY,,College / university,News article,Estimated,Middle East,Central Asia,Consultant estimate,Disclosed total only,Training facility naming rights,Stand / gate / zone only,Not applicable,Club-owned,Private commercial venue,Unknown,National government source,Chinese,Needs verification
Excluded,,Multi-purpose venue,Soccer,Mixed,Unknown,Airlines / Travel,Terminated,CAD,,Minor league,Consulting report,Unknown,Latin America,Middle East / West Asia,Minimum asking price,Non-disclosed,Sub-facility naming rights,Training facility,Unknown,University / school-owned,Club-owned stadium,,Club / team release,Thai,Exclude from analysis
,,Convention / exhibition venue,Rugby,Unknown,,Energy / Utilities,Renamed,AUD,,Non-sports anchor,Government / statistics,,Africa,Oceania,Government tender / public offering price,DND / confidential,Facility bundle,Multi-venue package,,"Government-owned, privately operated",PPP / concession,,Venue operator release,Malay,
,,Other,Cricket,,,Healthcare,Unknown,CHF,,Unknown,Sports league / team data,,Global / Multi-region,Asia-Pacific mixed,Undisclosed,Estimate only,Event / tournament naming rights,Venue plus event assets,,Mixed,Designated manager system,,Sponsor release,Indonesian,
,,,Motorsport,,,Food & Beverage,,CNY,,,Social / digital platform,,Unknown,Unknown,Derived / calculated,Unknown,District / complex naming rights,Digital / media assets included,,Unknown,University facility,,Annual report / filing,Vietnamese,
,,,Concert / entertainment,,,Retail,,KRW,,,Estimated / derived,,,,Unknown,,Other,Unknown,,,Other,,Industry directory,Arabic,
,,,Multi-purpose,,,Insurance,,Other,,,Other,,,,,,,,,,Unknown,,Consulting report,Hindi,
,,,Other,,,Real Estate,,,,,,,,,,,,,,,,,News article,Other,
,,,,,,Media / Entertainment,,,,,,,,,,,,,,,,,Database subscription,Unknown,
,,,,,,Crypto / Fintech,,,,,,,,,,,,,,,,,User-provided extract,,
,,,,,,Industrial / Manufacturing,,,,,,,,,,,,,,,,,Other,,
,,,,,,Other,,,,,,,,,,,,,,,,,,,
Target Case,Planning / concept-stage source,Planned ballpark,Baseball,Public-private partnership,New planned venue,Other,Target valuation case,JPY,Unknown,Top-tier domestic,Municipal planning document / official PDF,Planning source,Asia-Pacific,East Asia,Target valuation case,Target to be estimated,Ballpark naming rights,Full venue to be estimated,Unknown,Public-private partnership,Municipal facility / PPP under consideration,Unknown,Research target case,Japanese,Target valuation row
