Check Item,Why It Matters,Suggested Action,Rule / Evidence,Status,Owner,Due Date,Notes
Contract value is available,The core benchmark value requires monetary data.,"Collect total value, annual fee, or mark as unavailable with source note.",Annual Fee or Total Value + Length,Not Started,,,
Contract term is available,Annualized values require contract length.,Collect start/end years or contract length.,Contract Length years not blank,Not Started,,,
Currency and FX factor are available,Cross-country comparison requires standardized currency.,Enter original currency and FX to base currency.,Currency + FX fields not blank,Not Started,,,
Venue capacity is available,Venue size is a basic comparability variable.,Collect official or typical event capacity.,Capacity not blank,Not Started,,,
Annual attendance or event activity is available,Facility performance helps compare exposure and usage.,"Collect annual attendance, event days, or both.",Attendance / Event Days not blank,Not Started,,,
Market variables are available,Market size and purchasing power are important contextual data.,"Collect city/metro population, income, GDP/GRP, tourism if possible.",City Population at minimum,Not Started,,,
Media and digital indicators are available,Exposure-related data improves business interpretation.,"Collect broadcast viewers, media mentions, social impressions, search interest where feasible.",At least one exposure indicator,Not Started,,,
Source traceability is complete,Dataset should be auditable and defensible.,Add Source ID and direct URL for each important figure.,Source ID + Source URL not blank,Not Started,,,
Outliers are documented,Very large or unusual deals can distort analysis.,"Flag bundled sponsorships, new-venue premium, or local strategic deals.",Special Factors / Notes populated when needed,Not Started,,,
Comparable group is assigned,Peer grouping supports later benchmarking and sensitivity checks.,Assign a manual comparable venue group after collecting enough rows.,Comparable Venue Group not blank,Not Started,,,
Regional data check,"For regional/local rows, confirm Country, Region, and Subregion are filled where available.",Required,Manual review / filter blanks,Open,,,
Value basis check,Confirm Data Type / Value Basis is not blank for Asia rows.,Required,Use dropdown; distinguish actual disclosed vs estimate vs public offering price,Open,,,
Tax check,Confirm Tax Treatment is captured for Japan and other tax-sensitive sources.,Recommended,Use source notes; do not assume gross/net,Open,,,
Scope check,Confirm Rights Type and Naming Scope are captured to avoid mixing full-venue deals with sub-facility or bundle deals.,Required,Use Rights Type and Naming Scope fields,Open,,,
Source language check,Preserve original source title and language for non-English data.,Recommended,Use Original Language Source Title and Original Language fields,Open,,,
Disclosure check,"Flag disclosed range, annual-only, total-only, N/A, DND, and estimates using Value Disclosure Status.",Required,Do not force undisclosed values into numeric fields,Open,,,
Bundle check,"If sponsor package includes team, jersey, media, or facility assets beyond naming rights, mark Bundled Assets Flag.",Recommended,Add details to Asia Data Notes,Open,,,Add details to Regional Data Notes
Valuation target check,Target case row is clearly flagged as a valuation target and not an observed historical contract.,Required before analysis,Open,Exclude target row from training / benchmark-only datasets.,,,
Valuation target check,Target assumptions should be updated when Chiba City or Chiba Lotte release final basic plan / tender / sponsorship package details.,Required before final valuation,Open,Track changes in Target_Case_Chiba_Lotte and Source_Tracker.,,,
Valuation target check,Scenario output should distinguish annual naming-rights fee from total contract value and from broader sponsorship packages.,Required before final valuation,Open,Avoid mixing venue-only naming rights with bundled sponsorship assets.,,,
