Section,Item,Value,Unit / Classification,Source / URL,Notes
Calculation Objective,Research objective,Estimate the fair annual naming-rights fee and potential contract value for the planned Chiba Lotte Marines new stadium.,Target case,,This is the valuation target of the workbook; it is not an observed historical contract.
Calculation Objective,Target Record ID,TARGET-CHIBA-LOTTE-2034,Internal ID,,"Use this ID to link assumptions, scenarios, and future valuation outputs."
Target Venue,Planned venue name,Chiba Lotte Marines New Stadium (planned),Working English name,,Naming-rights name has not been determined.
Target Venue,Current / related venue,ZOZO Marine Stadium / Chiba Marine Stadium,Existing home venue,,"Current venue remains a comparable Asia benchmark, but the target is the planned new stadium."
Target Venue,Primary tenant,Chiba Lotte Marines,NPB / Pacific League,,Primary professional baseball tenant.
Target Venue,Planned opening,2034,Year,https://www.sponichi.co.jp/baseball/news/2025/05/23/articles/20250523s00001173071000c.html,Sponichi reports that the city aims to open the new stadium in 2034.
Target Venue,Location,"Makuhari Messe parking lot, Toyosuna area, Chiba",Planned site,https://www.sponichi.co.jp/baseball/news/2025/05/23/articles/20250523s00001173071000c.html,"Sponichi states that the planned site is the Makuhari Messe parking lot, about 500m from Makuhari-Toyosuna Station."
Target Venue,Official planning site area,110000,sqm,https://www.city.chiba.jp/sogoseisaku/miraitoshi/marinesaiseibi/documents/kihonkousouann20250704.pdf,Chiba City concept plan identifies approx. 11ha near JR Makuhari-Toyosuna Station within the Makuhari Messe parking lot.
Target Venue,Venue type,Outdoor ballpark / stadium,Facility type,https://www.sponichi.co.jp/baseball/news/2025/05/23/articles/20250523s00001173071000c.html,Sponichi states the city chose an outdoor stadium concept rather than a dome.
Target Venue,Planned capacity,33000,Seats,https://www.sponichi.co.jp/baseball/news/2025/05/23/articles/20250523s00001173071000c.html,"Reported as approximately 33,000 seats, roughly 10% above the current stadium."
Target Venue,Approximate project cost,65000000000,JPY,https://www.sponichi.co.jp/baseball/news/2025/05/23/articles/20250523s00001173071000c.html,Reported estimated project cost is approximately JPY 65.0 billion.
Target Venue,Access,Approx. 500m from JR Makuhari-Toyosuna Station; approx. 1.2km from JR Kaihin-Makuhari Station,Location / mobility,https://www.city.chiba.jp/sogoseisaku/miraitoshi/marinesaiseibi/documents/kihonkousouann20250704.pdf,Use station proximity as a key market and mobility variable.
Target Venue,Urban-development concept,Ballpark / 365-day destination with commercial and entertainment functions,Urban value factor,https://www.sponichi.co.jp/baseball/news/2025/05/23/articles/20250523s00001173071000c.html,"Sponichi reports a ballpark concept using private investment for commercial, entertainment and hotel functions."
