Record ID,Data Status,Data Quality,Last Updated,Source ID,Source URL,Notes,Venue Name,Previous / Alternative Venue Name,Venue Type,Primary Use,Country,City,State / Prefecture,Metro Area,Latitude,Longitude,Ownership Type,Opened Year,Renovated Year,New / Renewed Venue Flag,Capacity,Total Site Area sqm,Nearest Major Station / Airport,Distance to CBD km,Sponsor Name,Sponsor Industry,Sponsor HQ Country,Contract Status,Contract Announcement Date,Contract Start Year,Contract End Year,Contract Length years,Currency,Total Contract Value Original,Annual Fee Original,Annualized Fee Original Calc,FX to Base Currency,Annualized Fee Base Currency,Inflation / CPI Normalization Factor,Real Annualized Fee Base Year,Rights Scope Summary,Included Assets / Benefits,Exclusivity Y/N,Renewal Y/N,Termination / Opt-out Y/N,Primary Tenant / Team,League / Competition,League Tier / Level,Multi-tenant Y/N,Number of Anchor Tenants,Average Home Attendance,Annual Venue Attendance,Annual Event Days,Sports Event Days,Concert / Entertainment Days,Other Event Days,Utilization Rate,Attendance per Seat,Broadcast / Streaming Viewers Annual,National Broadcast Games / Events,International Exposure Y/N,Media Mentions Annual,Estimated Media Impressions,Social Followers Tenant / Venue,Annual Social Posts Mentioning Venue,Social Impressions Annual,Avg Engagement Rate,Google Trends Index Venue,Search Volume Venue,Mobile Foot Traffic Annual,City Population,Metro Population,Regional GDP / GRP,Median Household Income,Annual Tourists / Visitors City,Number of Large Corporate HQs,Sponsor-Venue Fit Notes,Comparable Venue Group,Special Factors,Missing Data Flag,Researcher Comments,Region,Subregion,Local Country / Territory Name,Local Venue Name,English Venue Name,Original Language Source Title,Original Language,Row Source Type,Data Type / Value Basis,Value Disclosure Status,Rights Type,Naming Scope,Tax Treatment,Public / Private Facility,Facility Governance / Scheme,Bundled Assets Flag,Local Currency Notes,Regional Data Notes,Group 1-3 Completeness %,Group 1-3 Cells Filled (of 31),Group 1-2 Completeness % (excl. Tax)
ASIA-004,Needs Verification,Medium,2026-07-01,SRC-ASIA-004,https://www.hkdballpark.com/news/8/?utm_source=chatgpt.com,Asia naming-rights data imported from user-provided extract. Raw annual='5億円以上／年'. Raw contract period='2020年1月決定、10年以上'.,ES CON Field Hokkaido,Hokkaido Ballpark,Ballpark,Baseball,Japan,Kitahiroshima,Hokkaido,,,,Private,2023.0,,,35000.0,,,,Nippon Escon,Real Estate,Japan,Active,,2020.0,2029.0,10.0,JPY,5000000000.0,500000000.0,500000000.0,,,,,Ballpark naming rights,Full venue,,Unknown,Unknown,Hokkaido Nippon-Ham Fighters,NPB - Pacific League,Top-tier domestic,Unknown,,,,,71.0,,,,,,,,,,566000.0,,,,,,,,,,,,,,Asia-Pacific benchmark,Official source confirms naming; contract value is media-reported and should be flagged as estimated.,Y,Source basis in user table: 報道推定. Reported as more than JPY 5.0B over at least 10 years; annual value normalized at JPY 500.0M lower-bound estimate.,Asia-Pacific,East Asia,日本,ES CON FIELD HOKKAIDO,ES CON Field Hokkaido,ボールパークエリア名および新球場名決定のお知らせ,Japanese,Venue operator release,Media estimate,Estimate only,Ballpark naming rights,Full venue,Unknown,Private,Private commercial venue,Partially / likely,Reported as more than JPY 5.0B over at least 10 years; annual value normalized at JPY 500.0M lower-bound estimate.,Official source confirms naming; contract value is media-reported and should be flagged as estimated. Japanese note: 公式には名称決定を確認可能。金額は報道ベースで10年50億円超、または年5億円以上の大型案件として扱うのが安全。([HOKKAIDO BALLPARK F VILLAGE][4]),0.6129032258064516,19,1.0
ASIA-005,Needs Verification,Medium,2026-07-01,SRC-ASIA-005,https://www.pref.aichi.jp/press-release/kokusai-arena20240208namingrights.html?utm_source=chatgpt.com,Asia naming-rights data imported from user-provided extract. Raw annual='5億円超相当／年と推定'. Raw contract period='2025年〜2035年予定、10年'.,IG Arena,Aichi New Gymnasium,Arena,Multi-purpose,Japan,Nagoya,Aichi,,,,Public-private partnership,2025.0,,,17000.0,,,,IG Group,Financial Services,Japan,Announced,,2025.0,2035.0,10.0,JPY,5000000000.0,500000000.0,500000000.0,,,,,Arena naming rights,Full venue,,Unknown,Unknown,Nagoya Diamond Dolphins,B.League,Non-sports anchor,Unknown,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,Asia-Pacific benchmark,"Treat as estimate only. Official source confirms naming rights and 10-year term, not the exact monetary value.",Y,Source basis in user table: 推定. Amount not disclosed; annual amount entered as JPY 500.0M+ equivalent estimate based on reported relative scale.,Asia-Pacific,East Asia,日本,愛知県新体育館,IG Arena,愛知県新体育館のネーミングライツによる名称等の決定について,Japanese,Prefectural / state website,Media estimate,Non-disclosed,Arena naming rights,Full venue,Unknown,Public-private partnership,PPP / concession,No,Amount not disclosed; annual amount entered as JPY 500.0M+ equivalent estimate based on reported relative scale.,"Treat as estimate only. Official source confirms naming rights and 10-year term, not the exact monetary value. Japanese note: 契約金額は非公表。公式には10年契約、日本・アジア最大級のアリーナ命名権契約の一つと発表。報道ではES CON FIELDを上回る規模とされるため、年5億円超相当と推定。ただし回帰分析では注意が必要。([愛知県公式サイト][5])",0.5806451612903226,18,1.0
ASIA-007,Complete,High,2026-07-01,SRC-ASIA-007,https://corp.zozo.com/news/20161118-449/?utm_source=chatgpt.com,Asia naming-rights data imported from user-provided extract. Raw annual='3.1億円／年'. Raw contract period='2016年12月〜2026年11月、10年'.,ZOZO Marine Stadium,Chiba Marine Stadium,Ballpark,Baseball,Japan,Chiba,Chiba,,,,Public,1990.0,,,29645.0,,,,ZOZO,Retail,Japan,Active,,2016.0,2026.0,10.0,JPY,3100000000.0,310000000.0,310000000.0,,,,,Ballpark naming rights,Full venue,,Unknown,Unknown,Chiba Lotte Marines,NPB - Pacific League,Top-tier domestic,Unknown,,,,,71.0,,,,,,,,,,287000.0,,,,,,,,,,,,,,Asia-Pacific benchmark,High-quality official data; suitable for core analysis.,N,"Source basis in user table: 公式. Annual amount JPY 310.0M, tax excluded.",Asia-Pacific,East Asia,日本,千葉マリンスタジアム,ZOZO Marine Stadium,千葉マリンスタジアムの命名権取得 - 株式会社ZOZO,Japanese,Sponsor release,Actual disclosed,Disclosed exact amount,Ballpark naming rights,Full venue,Excluding tax,Public,Municipal facility,No,"Annual amount JPY 310.0M, tax excluded.","High-quality official data; suitable for core analysis. Japanese note: 年額3億1,000万円、税別。公式情報で金額・期間とも確認できるため、モデル投入に適した高品質データ。([株式会社ZOZO][7])",0.6129032258064516,19,1.0
ASIA-008,Needs Verification,Medium,2026-07-01,SRC-ASIA-008,https://www.sapporo-dome.co.jp/information/2024/07/19/14012/?utm_source=chatgpt.com,Asia naming-rights data imported from user-provided extract. Raw annual='推定2.5億円／年程度'. Raw contract period='2024年8月〜2028年7月、4年'.,Daiwa House Premist Dome,Sapporo Dome,Stadium,Multi-purpose,Japan,Sapporo,Hokkaido,,,,Public,2001.0,,,41484.0,,,,Daiwa House Industry,Real Estate,Japan,Active,,2024.0,2028.0,4.0,JPY,1000000000.0,250000000.0,250000000.0,,,,,Stadium naming rights,Full venue,,Unknown,Unknown,Hokkaido Consadole Sapporo,J2 League,Non-sports anchor,Unknown,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,Asia-Pacific benchmark,Use as estimate/minimum asking-price proxy rather than confirmed contract amount.,Y,Source basis in user table: 推定. Official amount not disclosed; entered at JPY 250.0M/year based on minimum asking condition.,Asia-Pacific,East Asia,日本,札幌ドーム,Daiwa House Premist Dome,「札幌ドーム」のネーミングライツ契約締結 「札幌ドーム」の愛称 ...,Japanese,Venue operator release,Minimum asking price,Non-disclosed,Stadium naming rights,Full venue,Unknown,Public,Municipal facility,No,Official amount not disclosed; entered at JPY 250.0M/year based on minimum asking condition.,Use as estimate/minimum asking-price proxy rather than confirmed contract amount. Japanese note: 契約金額は公式非公表。ただし募集要項では希望条件が年額2.5億円以上。モデルでは `Estimated` として入れるなら妥当。([札幌ドーム][8]),0.5806451612903226,18,1.0
ASIA-009,Complete,High,2026-07-01,SRC-ASIA-009,https://www.ajinomotostadium.com/news/2024/01/7886.php?utm_source=chatgpt.com,Asia naming-rights data imported from user-provided extract. Raw annual='2.1億円／年'. Raw contract period='2024年3月〜2029年2月、5年'.,Ajinomoto Stadium,Tokyo Stadium,Stadium,Soccer,Japan,Chofu,Tokyo,,,,Public,2001.0,,,49970.0,,,,Ajinomoto,Food & Beverage,Japan,Active,,2024.0,2029.0,5.0,JPY,1050000000.0,210000000.0,210000000.0,,,,,Stadium naming rights,Full venue,,Unknown,Unknown,FC Tokyo,J1 League,Top-tier domestic,Unknown,,,,,19.0,,,,,,,,,,133000.0,,,,,,,,,,,,,,Asia-Pacific benchmark,High-quality official data.,N,"Source basis in user table: 公式. Five-year total JPY 1.05B, tax excluded; annualized at JPY 210.0M.",Asia-Pacific,East Asia,日本,東京スタジアム,Ajinomoto Stadium,「味の素スタジアム」におけるネーミングライツ契約更新のお知らせ,Japanese,Venue operator release,Actual disclosed,Disclosed exact amount,Stadium naming rights,Full venue,Excluding tax,Public,Prefectural / state facility,No,"Five-year total JPY 1.05B, tax excluded; annualized at JPY 210.0M.","High-quality official data. Japanese note: 5年総額10億5,000万円、税別。公共大型施設ネーミングライツの先行事例として重要。([味の素スタジアム][9])",0.6129032258064516,19,1.0
ASIA-010,Complete,High,2026-07-01,SRC-ASIA-010,https://www.pref.miyagi.jp/soshiki/sports/pressrelease/20251201.html?utm_source=chatgpt.com,Asia naming-rights data imported from user-provided extract. Raw annual='2.01億円／年'. Raw contract period='2026年1月〜2028年12月、3年'.,Rakuten Mobile Saikyo Park Miyagi,Miyagi Baseball Stadium,Ballpark,Baseball,Japan,Sendai,Miyagi,,,,Public,1950.0,,,30508.0,,,,Rakuten Group,Technology,Japan,Announced,,2026.0,2028.0,3.0,JPY,603000000.0,201000000.0,201000000.0,,,,,Ballpark naming rights,Full venue,,Unknown,Unknown,Tohoku Rakuten Golden Eagles,NPB - Pacific League,Top-tier domestic,Unknown,,23132.0,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,Asia-Pacific benchmark,Name updated from Rakuten Mobile Park Miyagi.,N,"Source basis in user table: 公式. Annual amount JPY 201.0M, tax excluded.",Asia-Pacific,East Asia,日本,宮城球場,Rakuten Mobile Saikyo Park Miyagi,宮城球場のネーミングライツ契約更新のお知らせ,Japanese,Prefectural / state website,Actual disclosed,Disclosed exact amount,Ballpark naming rights,Full venue,Excluding tax,Public,Prefectural / state facility,No,"Annual amount JPY 201.0M, tax excluded.",Name updated from Rakuten Mobile Park Miyagi. Japanese note: 現在の更新契約では「楽天モバイル 最強パーク宮城」。年2億100万円、税別。従来の「楽天モバイルパーク宮城」から名称変更。([宮城県公式サイト][10]),0.6129032258064516,19,1.0
ASIA-011,Complete,High,2026-07-01,SRC-ASIA-011,https://suitacityfootballstadium.jp/news/index/no/7247/?utm_source=chatgpt.com,Asia naming-rights data imported from user-provided extract. Raw annual='2.0億円／年'. Raw contract period='2023年1月〜2027年12月、5年'.,Panasonic Stadium Suita,Suita City Football Stadium,Soccer-specific stadium,Soccer,Japan,Suita,Osaka,,,,Public,2015.0,,,39694.0,,,,Panasonic Sports,Consumer Electronics,Japan,Active,,2023.0,2027.0,5.0,JPY,1000000000.0,200000000.0,200000000.0,,,,,Stadium naming rights,Full venue,,Unknown,Unknown,Gamba Osaka,J1 League,Top-tier domestic,Unknown,,,,,19.0,,,,,,,,,,146000.0,,,,,,,,,,,,,,Asia-Pacific benchmark,High-quality official data.,N,"Source basis in user table: 公式. Five-year total JPY 1.0B, tax excluded; annualized at JPY 200.0M.",Asia-Pacific,East Asia,日本,市立吹田サッカースタジアム,Panasonic Stadium Suita,Panasonic Stadium Suita（パナソニック スタジアム 吹田 ...,Japanese,Venue operator release,Actual disclosed,Disclosed exact amount,Stadium naming rights,Full venue,Excluding tax,Public,Municipal facility,No,"Five-year total JPY 1.0B, tax excluded; annualized at JPY 200.0M.",High-quality official data. Japanese note: 5年総額10億円、税別。公式に年額2億円と確認可能。([Panasonic Stadium Suita][11]),0.6129032258064516,19,1.0
ASIA-012,Needs Verification,Medium,2026-07-01,SRC-ASIA-012,https://www.cerezo.jp/news/2020-12-26-14-27/?utm_source=chatgpt.com,Asia naming-rights data imported from user-provided extract. Raw annual='2.0億円／年相当'. Raw contract period='2021年4月〜2026年3月、5年'.,Yodoko Sakura Stadium,Nagai Ball Game Field,Soccer-specific stadium,Soccer,Japan,Osaka,Osaka,,,,Public,1987.0,,,24481.0,,,,Yodogawa Steel Works / Yodoko,Industrial / Manufacturing,Japan,Active,,2021.0,2026.0,5.0,JPY,1000000000.0,200000000.0,200000000.0,,,,,Stadium naming rights,Venue plus sponsorship assets,,Unknown,Unknown,Cerezo Osaka,J1 League,Top-tier domestic,Unknown,,,,,19.0,,,,,,,,,,208000.0,,,,,,,,,,,,,,Asia-Pacific benchmark,Do not treat as pure naming-rights-only fee without adjustment; bundled sponsorship assets included.,N,Source basis in user table: 報道・包括契約. JPY 200.0M/year corresponds to a broader top-partner package including naming rights.,Asia-Pacific,East Asia,日本,長居球技場,Yodoko Sakura Stadium,株式会社淀川製鋼所・セレッソ大阪包括的パートナーシップ ...,Japanese,Club / team release,Actual reported but partially disclosed,Disclosed annual only,Stadium naming rights,Venue plus sponsorship assets,Unknown,Public,Municipal facility,Yes,JPY 200.0M/year corresponds to a broader top-partner package including naming rights.,Do not treat as pure naming-rights-only fee without adjustment; bundled sponsorship assets included. Japanese note: 年2億円は、長居球技場ネーミングライツ単体ではなく、セレッソ大阪トップパートナー契約を含む包括契約。モデルでは `Naming + sponsorship` として扱うべき。施設名は「長居陸上競技場」ではなく長居球技場。([セレッソ大阪オフィシャルウェブサイト | Cerezo OSAKA][12]),0.6129032258064516,19,1.0
ASIA-013,Complete,High,2026-07-01,SRC-ASIA-013,https://www.city.yokohama.lg.jp/business/kyoso/private-fund/naming-rights/case.html?utm_source=chatgpt.com,Asia naming-rights data imported from user-provided extract. Raw annual='1.3億円／年'. Raw contract period='2026年3月〜2031年2月、5年'.,Nissan Stadium,International Stadium Yokohama,Stadium,Soccer,Japan,Yokohama,Kanagawa,,,,Public,1998.0,,,72327.0,,,,Nissan Motor,Automotive,Japan,Announced,,2026.0,2031.0,5.0,JPY,650000000.0,130000000.0,130000000.0,,,,,Stadium naming rights,Venue plus related facilities,,Unknown,Unknown,Yokohama F. Marinos,J1 League,Top-tier domestic,Unknown,,,,,19.0,,,,,,,,,,185000.0,,,,,,,,,,,,,,Asia-Pacific benchmark,"Scope includes related facilities, not only the main stadium.",N,Source basis in user table: 公式. Five-year total JPY 650.0M; annualized at JPY 130.0M.,Asia-Pacific,East Asia,日本,横浜国際総合競技場,Nissan Stadium,ネーミングライツ（施設命名権） 事例 - 横浜市,Japanese,Municipal website,Actual disclosed,Disclosed exact amount,Stadium naming rights,Venue plus related facilities,Unknown,Public,Municipal facility,Partially / likely,Five-year total JPY 650.0M; annualized at JPY 130.0M.,"Scope includes related facilities, not only the main stadium. Japanese note: 横浜市公式で5年総額6.5億円と確認可能。併設施設も対象に含まれる点に注意。([横浜市ポータルサイト][13])",0.6129032258064516,19,1.0
ASIA-014,Complete,High,2026-07-01,SRC-ASIA-014,https://www.city.hiroshima.lg.jp/business/kassei/1021942/1026864/1020212.html?utm_source=chatgpt.com,Asia naming-rights data imported from user-provided extract. Raw annual='1.0億円／年'. Raw contract period='2024年2月〜2034年1月、10年'.,EDION Peace Wing Hiroshima,Hiroshima Soccer Stadium,Soccer-specific stadium,Soccer,Japan,Hiroshima,Hiroshima,,,,Public,2024.0,,,28520.0,,,,Edion,Retail,Japan,Active,,2024.0,2034.0,10.0,JPY,1000000000.0,100000000.0,100000000.0,,,,,Stadium naming rights,Full venue,,Unknown,Unknown,Sanfrecce Hiroshima,J1 League,Top-tier domestic,Unknown,,,,,19.0,,,,,,,,,,128000.0,,,,,,,,,,,,,,Asia-Pacific benchmark,High-quality official data; tax treatment differs from tax-excluded Japan rows.,N,"Source basis in user table: 公式. Annual amount JPY 100.0M, tax included.",Asia-Pacific,East Asia,日本,広島サッカースタジアム,EDION Peace Wing Hiroshima,広島サッカースタジアムの呼称を「EDION PEACE WING ...,Japanese,Municipal website,Actual disclosed,Disclosed exact amount,Stadium naming rights,Full venue,Including tax,Public,Municipal facility,No,"Annual amount JPY 100.0M, tax included.",High-quality official data; tax treatment differs from tax-excluded Japan rows. Japanese note: 年額1億円、税込。公式・広島市資料で確認可能。モデルでは税込・税別調整に注意。([広島市][14]),0.6129032258064516,19,1.0
