Record ID,Data Status,Data Quality,Last Updated,Source ID,Source URL,Notes,Venue Name,Previous / Alternative Venue Name,Venue Type,Primary Use,Country,City,State / Prefecture,Metro Area,Latitude,Longitude,Ownership Type,Opened Year,Renovated Year,New / Renewed Venue Flag,Capacity,Total Site Area sqm,Nearest Major Station / Airport,Distance to CBD km,Sponsor Name,Sponsor Industry,Sponsor HQ Country,Contract Status,Contract Announcement Date,Contract Start Year,Contract End Year,Contract Length years,Currency,Total Contract Value Original,Annual Fee Original,Annualized Fee Original Calc,FX to Base Currency,Annualized Fee Base Currency,Inflation / CPI Normalization Factor,Real Annualized Fee Base Year,Rights Scope Summary,Included Assets / Benefits,Exclusivity Y/N,Renewal Y/N,Termination / Opt-out Y/N,Primary Tenant / Team,League / Competition,League Tier / Level,Multi-tenant Y/N,Number of Anchor Tenants,Average Home Attendance,Annual Venue Attendance,Annual Event Days,Sports Event Days,Concert / Entertainment Days,Other Event Days,Utilization Rate,Attendance per Seat,Broadcast / Streaming Viewers Annual,National Broadcast Games / Events,International Exposure Y/N,Media Mentions Annual,Estimated Media Impressions,Social Followers Tenant / Venue,Annual Social Posts Mentioning Venue,Social Impressions Annual,Avg Engagement Rate,Google Trends Index Venue,Search Volume Venue,Mobile Foot Traffic Annual,City Population,Metro Population,Regional GDP / GRP,Median Household Income,Annual Tourists / Visitors City,Number of Large Corporate HQs,Sponsor-Venue Fit Notes,Comparable Venue Group,Special Factors,Missing Data Flag,Researcher Comments,Region,Subregion,Local Country / Territory Name,Local Venue Name,English Venue Name,Original Language Source Title,Original Language,Row Source Type,Data Type / Value Basis,Value Disclosure Status,Rights Type,Naming Scope,Tax Treatment,Public / Private Facility,Facility Governance / Scheme,Bundled Assets Flag,Local Currency Notes,Regional Data Notes,Group 1-3 Completeness %,Group 1-3 Cells Filled (of 31),Group 1-2 Completeness % (excl. Tax)
SBJ-FULL-001,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=14 (2031); raw annual=$800K; raw total=$11.2M.,3M Arena at Mariucci,,Arena / Indoor Venue,Collegiate,United States,Minneapolis,Minnesota,,,,Public,1993.0,,,10000.0,,,,3M,Business Services,,Listed in SBJ directory,,2018.0,2031.0,14.0,USD,11200000.0,800000.0,800000.0,1.0,800000.0,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Minnesota Golden Gophers,NCAA Division I - Big Ten (men's ice hockey),Collegiate,N,1.0,9156.0,,,16.0,,,,,,,,,,103000.0,,,,,,,,,,,,,,Collegiate,,N,"Source page 1. Raw fields: Years='14 (2031)', Annual='$800K', Total='$11.2M'.",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
SBJ-FULL-004,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=5 (2025); raw annual=$22.4K; raw total=$111.98K.,Access Communications Centre,,Arena / Indoor Venue,Minor League,Canada,North Battleford,Saskatchewan,,,,Public,1962.0,,,2500.0,,,,Access Communications,Telecommunications,,Listed in SBJ directory,,2021.0,2025.0,5.0,USD,111980.0,22400.0,22400.0,1.0,22400.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Battlefords North Stars,SJHL (Saskatchewan Junior Hockey League),Minor League,N,1.0,,,,,,,,,,,,,,5434.0,,,,,,,,,,,,,,Minor League,,N,"Source page 1. Raw fields: Years='5 (2025)', Annual='$22.4K', Total='$111.98K'.",,,,,,,,,,,,,,Public,,,,,0.5483870967741935,17,1.0
SBJ-FULL-005,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=10 (2029); raw annual=$300K; raw total=$3M.,accesso ShoWare Center,,Arena / Indoor Venue,Minor League,United States,Kent,Washington,,,,Public,2009.0,,,5887.0,,,,accesso Technology Group,Technology,,Listed in SBJ directory,,2020.0,2029.0,10.0,USD,3000000.0,300000.0,300000.0,1.0,300000.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,"Seattle Thunderbirds, Seattle Thunder, Tacoma Stars",WHL (Western Hockey League),Minor League,Y,3.0,,,,,,,,,,,,,,38000.0,,,,,,,,,,,,,,Minor League,,N,"Source page 1. Raw fields: Years='10 (2029)', Annual='$300K', Total='$3M'.",,,,,,,,,,,,,,Public,,,,,0.5483870967741935,17,1.0
SBJ-FULL-007,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=10 (2032); raw annual=$1.95M; raw total=$19.5M.,Acrisure BounceHouse,,Stadium,Collegiate,United States,Orlando,Florida,,,,Public,2007.0,,,44206.0,,,,Acrisure,Financial Services,,Listed in SBJ directory,,2023.0,2032.0,10.0,USD,19500000.0,1950000.0,1950000.0,1.0,1950000.0,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,UCF Knights,NCAA Division I FBS - Big 12 (football),Collegiate,N,1.0,43409.0,,,7.0,,,,,,,,,,174000.0,,,,,,,,,,,,,,Collegiate,,N,"Source page 1. Raw fields: Years='10 (2032)', Annual='$1.95M', Total='$19.5M'.",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
SBJ-FULL-008,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,"Annual x years differs from total (computed $150,000,000 vs source $15,000,000)",Acrisure Stadium,,Stadium,Major League,United States,Pittsburgh,Pennsylvania,,,,Public,2001.0,,,68400.0,,,,Acrisure,Financial Services,,Listed in SBJ directory,,2023.0,2037.0,15.0,USD,15000000.0,10000000.0,10000000.0,1.0,10000000.0,,,Major League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Pittsburgh Steelers,NFL,Major League,N,1.0,68400.0,,,9.0,,,,,,,,,,4000000.0,,,,,,,,,,,,,,Major League,,N,"Source page 1. Raw fields: Years='15 (2037)', Annual='$10M', Total='$15M'. Data notes: Annual x years differs from total (computed $150,000,000 vs source $15,000,000)",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
SBJ-FULL-009,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=12 (2034); raw annual=$1.67M; raw total=$20M.,Addition Financial Arena,,Arena / Indoor Venue,Collegiate,United States,Orlando,Florida,,,,Public,2007.0,,,9400.0,,,,Addition Financial,Financial Services,,Listed in SBJ directory,,2023.0,2034.0,12.0,USD,20000000.0,1670000.0,1670000.0,1.0,1670000.0,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,"UCF Knights, Orlando Valkyries",NCAA Division I - Big 12 (basketball),Collegiate,Y,2.0,9000.0,,,16.0,,,,,,,,,,174000.0,,,,,,,,,,,,,,Collegiate,,N,"Source page 1. Raw fields: Years='12 (2034)', Annual='$1.67M', Total='$20M'.",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
SBJ-FULL-011,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=10 (2027); raw annual=$200K; raw total=$2M.,Adirondack Bank Center at the Utica Memorial Auditorium,,Arena / Indoor Venue,Minor League,United States,Utica,New York,,,,Public,1960.0,,,3860.0,,,,Adirondack Bank,Financial Services,,Listed in SBJ directory,,2018.0,2027.0,10.0,USD,2000000.0,200000.0,200000.0,1.0,200000.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,"Utica University Pioneers, Utica Comets, Utica Jr. Comets, Utica City FC",AHL (American Hockey League),Minor League,Y,4.0,,,,36.0,,,,,,,,,,46300.0,,,,,,,,,,,,,,Minor League,,N,"Source page 1. Raw fields: Years='10 (2027)', Annual='$200K', Total='$2M'.",,,,,,,,,,,,,,Public,,,,,0.5806451612903226,18,1.0
SBJ-FULL-017,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,"Source reports Annual=N/A, Total=N/A",Alaska Airlines Arena at Hec Edmundson Pavilion,,Arena / Indoor Venue,Collegiate,United States,Seattle,Washington,,,,Public,1927.0,,,10000.0,,,,Alaska Airlines,Airlines,,Listed in SBJ directory,,2027.0,2036.0,10.0,USD,28000000.0,2800000.0,,1.0,,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Washington Huskies,NCAA Division I - Big Ten (basketball),Collegiate,N,1.0,7044.0,,,16.0,,,,,,,,,,65000.0,,,,,,,,,,,,,,Collegiate,,Y,"Source page 1. Raw fields: Years='N/A (N/A)', Annual='N/A', Total='N/A'. Data notes: Source reports Annual=N/A, Total=N/A",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
SBJ-FULL-018,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,"Source reports Annual=N/A, Total=N/A",Alaska Airlines Center,,Arena / Indoor Venue,Collegiate,United States,Anchorage,Alaska,,,,Public,2014.0,,,5000.0,,,,Alaska Airlines,Airlines,,Listed in SBJ directory,,2014.0,2023.0,10.0,USD,6300000.0,630000.0,,1.0,,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Alaska Anchorage Seawolves,NCAA Division II - GNAC (Alaska Anchorage Seawolves),Collegiate,N,1.0,,,,16.0,,,,,,,,,,7291.0,,,,,,,,,,,,,,Collegiate,,Y,"Source page 1. Raw fields: Years='N/A (N/A)', Annual='N/A', Total='N/A'. Data notes: Source reports Annual=N/A, Total=N/A",,,,,,,,,,,,,,Public,,,,,0.5806451612903226,18,1.0
SBJ-FULL-019,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=10 (2025); raw annual=$4.1M; raw total=$41M.,Alaska Airlines Field at Husky Stadium,,Ballpark / Field,Collegiate,United States,Seattle,Washington,,,,Public,1920.0,,,70138.0,,,,Alaska Airlines,Airlines,,Listed in SBJ directory,,2016.0,2025.0,10.0,USD,41000000.0,4100000.0,4100000.0,1.0,4100000.0,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Washington Huskies,NCAA Division I FBS - Big Ten (football),Collegiate,N,1.0,68865.0,,,7.0,,,,,,,,,,263000.0,,,,,,,,,,,,,,Collegiate,,N,"Source page 1. Raw fields: Years='10 (2025)', Annual='$4.1M', Total='$41M'.",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
